Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
*	*	*	TECHMIG
ACASP	AFAS	ACASP AFAS	AFAS
ACASP	AFASD	ACASP AFASD	AFASD
ACASP	AFASF	ACASP AFASF	AFASF
ACASP	AFASH	ACASP AFASH	AFASH
ACASP	AFASL	ACASP AFASL	AFASL
ACASP	AFASO	ACASP AFASO	AFASO
ACASP	AFASR	ACASP AFASR	AFASR
ACASP	AFAST	ACASP AFAST	AFAST
ACASP	AFASV	ACASP AFASV	AFASV
ACASP	AFASW	ACASP AFASW	AFASW
ACDEP	ACDEP	ACDEP ACDEP	ACDEP
ACDEP	ACDPM	ACDEP ACDPM	ACDPM
ACFST	AFAV	ACFST AFAV	AFEQP
ACFST	AFBLU	ACFST AFBLU	AFMED
ACFST	AFDRM	ACFST AFDRM	AFMED
ACFST	AFDVD	ACFST AFDVD	AFMED
ACFST	AFMAP	ACFST AFMAP	AFMAP
ACFST	AFMIC	ACFST AFMIC	AFMIC
ACFST	AFPER	ACFST AFPER	AFRST
ACFST	AFREF	ACFST AFREF	AFREF
ACFST	AFREP	ACFST AFREP	AFREP
ACFST	AFRES	ACFST AFRES	AFRES
ACFST	AFRFD	ACFST AFRFD	AFRFD
ACFST	AFROM	ACFST AFROM	AFMED
ACFST	AFRST	ACFST AFRST	AFRST
ACFST	AFVHS	ACFST AFVHS	AFMED
ACMED	ACFAY	ACMED ACFAY	ACFAY

ACMUS	AMRES	ACMUS AMRES	AMRES
ACMUS	AMRST	ACMUS AMRST	AMRST
ACMUS	AMSCO	ACMUS AMSCO	AMSCO
ACMUS	AMSD	ACMUS AMSD	AMSD
ACMUS	AMSTO	ACMUS AMSTO	AMSTO
ACMUS	AMUS	ACMUS AMUS	AMUS
ACMUS	AMUSP	ACMUS AMUSP	AMUSP
ACMUS	AMUSR	ACMUS AMUSR	AMUSR
ACRUS	AFRAL	ACRUS AFRAL	AFRAL
ACRUS	AFRFL	ACRUS AFRFL	AFRFL
ACRUS	AFRIV	ACRUS AFRIV	AFRIV
ACRUS	AFRJP	ACRUS AFRJP	AFRJP
ACRUS	AFRKU	ACRUS AFRKU	AFRKU
ACRUS	AFRLA	ACRUS AFRLA	AFRLA
ACRUS	AFRSA	ACRUS AFRSA	AFRSA
ACRUS	AFRTA	ACRUS AFRTA	AFRTA
ACRUS	AFRUC	ACRUS AFRUC	AFRUC
ACRUS	AFRUF	ACRUS AFRUF	AFRUF
ACRUS	AFRUR	ACRUS AFRUR	AFRUR
ACRUS	AFRUS	ACRUS AFRUS	AFRUS
ACSCI	ASCIR	ACSCI ASCIR	ASCIR
ACSCI	ASCIV	ACSCI ASCIV	ASCIV
MHASC	MASRF	MHASC MASRF	MASRF
MHASC	MDARC	MHASC MDARC	MDARC
MHASC	MDFAL	MHASC MDFAL	MDFAL
MHASC	MDLBC	MHASC MDLBC	MDLBC
MHASC	MMBFG	MHASC MMBFG	MMBFG
MHASC	MMTCU	MHASC MMTCU	MMTCU
MHASC	MMTDA	MHASC MMTDA	MMTDA
MHASC	MMTJU	MHASC MMTJU	MMTJU
MHASC	MMTLC	MHASC MMTLC	MMTLC
MHASC	MMTXT	MHASC MMTXT	MMTXT
MHLIB	MDHON	MHLIB MDHON	MDHON
MHLIB	MDMST	MHLIB MDMST	MDMST
MHLIB	MHDIA	MHLIB MHDIA	MHDIA
MHLIB	MHMFI	MHLIB MHMFI	MHMFI
MHLIB	MLEIB	MHLIB MLEIB	MLEIB
MHLIB	MLEIF	MHLIB MLEIF	MLEIF
MHLIB	MMAIN	MHLIB MMAIN	MMAIN
MHLIB	MMAUC	MHLIB MMAUC	MMAUC
MHLIB	MMAUS	MHLIB MMAUS	MMAUS
MHLIB	MMCUT	MHLIB MMCUT	MMCUT
